"Id";"Name";"Order";"CategoryId";"Country";"Region";"IsActive";"CountryCode";"Language";"IsMajor";"IsInternational"
"sr:tournament:402";"J.League 2";1000;"sr:category:52";"Japan";"other";1;"";"en-US";0;0
"sr:tournament:404";"East Asian Champio. Women";80;"sr:category:4";"International";"intl";1;"AFC";"en-US";1;1
"sr:tournament:406";"Primera Division";1000;"sr:category:20";"Peru";"other";1;"";"en-US";0;0
"sr:tournament:41";"Veikkausliiga";1000;"sr:category:19";"Finland";"other";1;"";"en-US";0;0
"sr:tournament:410";"K-League 1";24;"sr:category:291";"Republic of Korea";"as";1;"KOR";"en-US";1;0
"sr:tournament:411";"Algarve Cup Women";81;"sr:category:4";"International";"intl";1;"";"en-US";1;1
"sr:tournament:42";"Regionalliga North";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:429";"U17 European Ch.ship";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:43";"Regionalliga South";1000;"sr:category:122";"Germany Amateur";"other";1;"";"en-US";0;0
"sr:tournament:436";"Olympic Games";67;"sr:category:4";"International";"intl";1;"OLY";"en-US";1;1
"sr:tournament:437";"Olympic Games Women";68;"sr:category:4";"International";"intl";1;"OLY";"en-US";1;1
"sr:tournament:44";"2nd Bundesliga";99;"sr:category:30";"Germany";"other";1;"DEU";"en-US";1;0
"sr:tournament:445";"OFB Cup";1000;"sr:category:17";"Austria";"other";1;"";"en-US";0;0
"sr:tournament:446";"Super Cup";1000;"sr:category:11";"Hungary";"other";0;"";"en-US";0;0
"sr:tournament:448";"Super Cup";1000;"sr:category:24";"Slovenia";"other";0;"";"en-US";0;0
"sr:tournament:45";"Bundesliga";1000;"sr:category:17";"Austria";"other";1;"";"en-US";0;0
"sr:tournament:452";"U21 Toulon Tournament";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:453";"U20 World Cup";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:454";"U21 European Championship";1000;"sr:category:392";"International Youth";"intl";1;"";"en-US";0;1
"sr:tournament:46";"Superettan";1000;"sr:category:9";"Sweden";"other";1;"";"en-US";0;0
"sr:tournament:460";"Confederations Cup";54;"sr:category:4";"International";"intl";1;"FFA";"en-US";1;1
"sr:tournament:463";"AFC Champions League";25;"sr:category:393";"International Clubs";"as";1;"AFC";"en-US";1;1
"sr:tournament:464";"Copa Catalunya";1000;"sr:category:393";"International Clubs";"other";0;"";"en-US";0;1
"sr:tournament:465";"UEFA Super Cup";16;"sr:category:393";"International Clubs";"eu";1;"UFA";"en-US";1;1
"sr:tournament:466";"Peace Cup";1000;"sr:category:393";"International Clubs";"other";0;"";"en-US";0;1
"sr:tournament:47";"1st Division";1000;"sr:category:8";"Denmark";"other";1;"";"en-US";0;0
"sr:tournament:477";"European Championship, Women";11;"sr:category:4";"International";"intl";1;"UFA";"en-US";1;1
"sr:tournament:480";"Copa Sudamericana";45;"sr:category:393";"International Clubs";"am";1;"COP";"en-US";1;1
"sr:tournament:482";"Canadian Soccer League";1000;"sr:category:388";"Canada";"other";1;"";"en-US";0;0
"sr:tournament:488";"Uhrencup";1000;"sr:category:393";"International Clubs";"other";0;"";"en-US";0;1
"sr:tournament:490";"Recopa Sudamericana";46;"sr:category:393";"International Clubs";"am";1;"COP";"en-US";1;1
"sr:tournament:491";"3rd Liga";100;"sr:category:30";"Germany";"other";1;"DEU";"en-US";1;0
